# Mode B discovery set: frozen arXiv sample (UNLABELED).
# regenerate: python src/sample_arxiv.py --from 20260301 --to 20260331 --per-cat 35
# window 20260301..20260331; cats: stat.ME,eess.SY,cs.LG,q-bio.QM,q-fin.ST,physics.soc-ph,cond-mat.stat-mech,astro-ph.IM,q-bio.NC,math.OC
id,url,field,license,note
mb-astro-ph-IM-027,https://arxiv.org/abs/2603.03422,astro-ph.IM,arXiv,
mb-astro-ph-IM-028,https://arxiv.org/abs/2603.03448,astro-ph.IM,arXiv,
mb-astro-ph-IM-029,https://arxiv.org/abs/2603.03506,astro-ph.IM,arXiv,
mb-astro-ph-IM-030,https://arxiv.org/abs/2603.03520,astro-ph.IM,arXiv,
mb-astro-ph-IM-031,https://arxiv.org/abs/2603.04467,astro-ph.IM,arXiv,
mb-astro-ph-IM-032,https://arxiv.org/abs/2603.04471,astro-ph.IM,arXiv,
mb-astro-ph-IM-033,https://arxiv.org/abs/2603.03732,astro-ph.IM,arXiv,
mb-astro-ph-IM-034,https://arxiv.org/abs/2603.03734,astro-ph.IM,arXiv,
mb-astro-ph-IM-035,https://arxiv.org/abs/2603.04040,astro-ph.IM,arXiv,
mb-q-bio-NC-001,https://arxiv.org/abs/2603.03362,q-bio.NC,arXiv,
mb-q-bio-NC-002,https://arxiv.org/abs/2603.01184,q-bio.NC,arXiv,
mb-q-bio-NC-003,https://arxiv.org/abs/2603.01387,q-bio.NC,arXiv,
mb-q-bio-NC-004,https://arxiv.org/abs/2603.01568,q-bio.NC,arXiv,
mb-q-bio-NC-005,https://arxiv.org/abs/2603.02461,q-bio.NC,arXiv,
mb-q-bio-NC-006,https://arxiv.org/abs/2603.02491,q-bio.NC,arXiv,
mb-q-bio-NC-007,https://arxiv.org/abs/2603.12279,q-bio.NC,arXiv,
mb-q-bio-NC-008,https://arxiv.org/abs/2603.03037,q-bio.NC,arXiv,
mb-q-bio-NC-009,https://arxiv.org/abs/2603.03190,q-bio.NC,arXiv,
mb-q-bio-NC-010,https://arxiv.org/abs/2603.03201,q-bio.NC,arXiv,
mb-q-bio-NC-011,https://arxiv.org/abs/2603.03414,q-bio.NC,arXiv,
mb-q-bio-NC-012,https://arxiv.org/abs/2603.16897,q-bio.NC,arXiv,
mb-q-bio-NC-013,https://arxiv.org/abs/2603.03476,q-bio.NC,arXiv,
